Site Name,Country/Region,Receiver,Antenna,Radome,Satellite_System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data_Center,IERS DOMES,Clock,Agencies,Last_Data
CRO100VIR,VI,SEPT POLARX5TR,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS,17.75689947,-64.58431863,-31.4974,2607771.494,-5488076.997,1932768.06,ROBOT,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / RTS / IGS Multi-GNSS,JPL,43201M001,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
CUIB00BRA,BR,SEPT POLARX5S,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+SBAS,-15.55526111,-56.06986389,237.4,3430711.4,-5099641.5,-1699432.9,ROBOT,IGS / RTS / IGS Multi-GNSS,https://geoftp.ibge.gov.br/informacoes_sobre_,41603M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,2
CUSV00THA,TH,JAVAD TRE_3 DELTA,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS,13.73591389,100.5339083,76.06,-1132913.768,6092530.566,1504633.519,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,JPL,21904S001,INTERNAL,Jet Propulsion Laboratory,2
CUT000AUS,AU,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+SBAS,-32.00388889,115.8948,24,-2364337.27,4870285.562,-3360809.84,ROBOT,IGS Multi-GNSS / IGS / RTS,CDDIS,59945M001,INTERNAL,Curtin University,34
CUUT00THA,TH,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,13.7359912,100.5339348,74.296,-1132915.824,6092526.351,1504641.505,ROBOT,IGS / IGS Multi-GNSS / RTS,CDDIS,21904S002,INTERNAL,Chulalongkorn University,
CYNE00GUF,GF,SEPT POLARX5,TRM115000.00,NONE,GPS+GLO+GAL+BDS+SBAS,4.822105556,-52.36541389,-23,3880933,-5033206,532565,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,42807M001,INTERNAL,Institut National de l'Information Geographique et,2
CZTG00ATF,TF,TRIMBLE ALLOY,LEIAR20,LEIM,GPS+GLO+GAL+BDS+QZSS+SBAS,-46.43189444,51.85548056,202.8,2719994.82,3463392.63,-4598612.94,ROBOT,IGS20 / IGS Multi-GNSS / IGS / RTS,IGN,91301M002,INTERNAL,Centre National d'Etudes Spatiales,2
DAE200KOR,KR,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS,36.399425,127.3744806,116.824,-3120042.274,4084614.722,3764026.818,ROBOT,IGS / IGS Multi-GNSS,JAXA,23902M003,EXTERNAL CESIUM,Japan Aerospace Exploration Agency,2
DAEJ00KOR,KR,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS,36.3994,127.3745,117.037,-3120041.821,4084615.221,3764027.013,ROBOT,IGS20 / IGS14 Core / IGS08 / IGS / IGS14 / RTS / IGS Multi-GNSS,KASI,23902M002,EXTERNAL CESIUM,Korea Astronomy and Space Science Institute,2
DAKR00SEN,SN,TPS NET-G3A,TPSCR.G3,NONE,GPS+GLO,14.72122222,-17.43947222,51,5886533.48,-1849181.6,1610300.44,ROBOT,IGS20 / IGS / RTS,CDDIS,34108M001,INTERNAL,Direction des Travaux Geographiques et Cartographi,
DARW00AUS,AU,SEPT POLARX5,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-12.84369722,131.1327444,125.1,-4091359.606,4684606.42,-1408579.12,ROBOT,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / RTS / IGS Multi-GNSS,GA,50134M001,INTERNAL,Geoscience Australia,2
DAV100ATA,AQ,SEPT POLARX5,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS,-68.5773,77.9726,44.5,486854.4996,2285099.366,-5914955.771,ROBOT,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / RTS / IGS Multi-GNSS,GA,66010M001,INTERNAL,Geoscience Australia,2
DEAR00ZAF,ZA,TRIMBLE ALLOY,ASH701941.B,SCIS,GPS+GLO,-30.66520556,23.99263889,1321.7,5017617.284,2233214.786,-3234696.199,ROBOT,IGS,ftp://igs.ign.fr/,30316M001,INTERNAL,National Geospatial Information,
DGAR00GBR,United Kingdom,SEPT POLARX5,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-7.269684333,72.37024019,-64.7455,1916269.343,6029977.689,-801719.821,ROBOT,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,30802M001,INTERNAL,Jet Propulsion Laboratory,2
DHLG00USA,US,TPS NET-G3A,TPSCR.G3,SCIS,GPS+GLO,33.38980556,-115.7880278,-83.05,-2319099.26,-4799846.5,3490090.45,ROBOT,IGS,SIO,49904M001,INTERNAL,USGS,2
DJIG00DJI,DJ,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,11.52628757,42.84706445,711.409,4583086.142,4250982.504,1266243.065,ROBOT,IGS20 / IGS Multi-GNSS / IGS / RTS,IGN,39901M005,INTERNAL,Centre National d'Etudes Spatiales,2
DLF100NLD,NL,TRIMBLE NETR9,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+SBAS,51.98601944,4.387458333,75.8,3924697.942,301124.893,5001905.154,ROBOT,IGS20 / IGS Multi-GNSS / IGS / RTS,DUT,13502M009,EXTERNAL CESIUM,Delft University of Technology,2
DLTV00VNM,VN,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,11.945,108.482,1587.62,-1978879.097,5920511.651,1311808.34,ROBOT,IGS / IGS Multi-GNSS,JAXA,24306M001,INTERNAL,Japan Aerospace Exploration Agency,
DRAG00ISR,IL,JAVAD TRE_3 DELTA,ASH700936D_M,SNOW,GPS+GLO,31.5932,35.39206944,31.8,4432980.662,3149432.093,3322110.441,ROBOT,IGS20 / IGS08 / IGS / IGS14,BKG,20710S001,INTERNAL,Survey of Israel,2
DRAO00CAN,CA,SEPT POLARX5,TWIVC6050,SCIS,GPS+GLO+GAL,49.3226,-119.625,542,-2059164.682,-3621108.388,4814432.366,ROBOT,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,PGC,40105M002,EXTERNAL H-MASER,Geological Survey of Canada,2
DUBO00CAN,CA,SEPT POLARX5,AOAD/M_T,NONE,GPS+GLO+GAL,50.2588,-95.8662,251,-417603.6,-4064529.8,4881432.16,ROBOT,IGS20 / IGS08 / IGS / IGS14 / RTS / IGS Multi-GNSS,CDDIS,40137M001,EXTERNAL RUBIDIUM SYMMETRICOM,Natural Resources Canada,2
DUMG00ATA,AQ,LEICA GR25,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS+SBAS,-66.66516944,140.0022,-3.38,-1940884,1628468,-5833720,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,91501M003,INTERNAL,Centre National d'Etudes Spatiales,29
DUND00NZL,NZ,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,-45.883675,170.597175,386.9,-4388121.17,726671.05,-4556535.63,ROBOT,IGS / IGS Multi-GNSS / RTS,CDDIS,50212M003,INTERNAL,GNS Science,2
DYNG00GRC,GR,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,38.07855278,23.93243333,510.6,4595220.016,2039434.081,3912626.007,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,IGN,12602M006,INTERNAL,Centre National d'Etudes Spatiales,2
EBRE00ESP,ES,LEICA GR50,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS,40.82088611,0.49235,107.3,4833520,41536,4147461,ROBOT,IGS20 / IGS / IGS14 / IGS Multi-GNSS / RTS,BKG,13410M001,INTERNAL,Institut Cartografic i Geologic de Cataluny,2
EIL300USA,US,NOV OEM6,TPSCR.G5,TPSH,GPS,64.68788889,-147.1130139,177.2,-2296304.083,-1484805.898,5743078.376,ROBOT,IGS,CDDIS,49805S002,EXTERNAL CESIUM /RCVR 1,National Geospatial-Intelligence Agency,3
EIL400USA,US,NOV OEM6,TPSCR.G5,TPSH,GPS,64.68788889,-147.1130139,177.2,-2296304.083,-1484805.898,5743078.376,ROBOT,IGS,CDDIS,49805S002,EXTERNAL CESIUM /RCVR 2,National Geospatial-Intelligence Agency,3
ENAO00PRT,PT,JAVAD TRE_3,JAVRINGANT_G5T,NONE,GPS+GLO+GAL+BDS+SBAS,39.09120278,-28.02601111,91.6,4375732.153,-2329166.814,4000238.281,ROBOT,IGS / IGS Multi-GNSS / RTS,CDDIS,31902M005,INTERNAL,GeoForschungsZentrum,2
EPRT00USA,US,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL,44.90871111,-66.99213056,30.4,1768544.556,-4164839.445,4480190.419,ROBOT,IGS08 / IGS,https://geodesy.noaa.gov/corsdata/,49928S001,INTERNAL,National Geodetic Survey,
ESCU00CAN,CA,TRIMBLE NETR9,ASH701945E_M,NONE,GPS,47.07340389,-64.79871028,-16.02,1852954.53,-3937498.76,4647314.64,ROBOT,IGS,CDDIS,40168M001,INTERNAL,NRCan+ Geodetic Survey Division,2
FAA100PYF,PF,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,-17.55531389,-149.6143,12.35,-5247393.111,-3076867.223,-1911521.528,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,CDDIS,92201M012,INTERNAL,ESA/ESOC,2
FAIR00USA,United States,SEPT POLARX5,ASH701945G_M,JPLA,GPS+GLO+GAL+BDS+QZSS,64.97799833,-147.4992396,319.1771,-2281621.772,-1453595.949,5756961.944,,IGS20 / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL (ODC-Operational Data Center),40408M001,INTERNAL,Jet Propulsion Laboratory,2
FALK00FLK,Falkland Islands (Malvinas),SEPT POLARX5,ASH701945E_M,SCIT,GPS+GLO+GAL+BDS,-51.69365222,-57.87406736,50.8407,2106811.344,-3355170.667,-4981786.335,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL (ODC-Operational Data Center),80602M001,INTERNAL,Jet Propulsion Laboratory,2
FFMJ00DEU,DE,JAVAD TRE_3 DELTA,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+SBAS,50.09058056,8.664969444,178.3,4053455.7,617729.9,4869395.9,ROBOT,IGS / RTS / IGS Multi-GNSS,BKG,14279M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
FLIN00CAN,CA,SEPT POLARX5,NOV750.R4,NOVS,GPS+GLO+GAL,54.7256,-101.978,320,-766174.46,-3611375.32,5184056.22,ROBOT,IGS20 / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,CDDIS,40135M001,INTERNAL,Natural Resources Canada,2
FLRS00PRT,PT,TRIMBLE ALLOY,TRM159900.00,NONE,GPS+GLO+GAL,39.45383333,-31.12638889,79.9,4221530.01,-2549242.33,4031397.8,ROBOT,IGS20 / IGS / IGS14 / IGS Multi-GNSS / RTS,BKG,31907M001,INTERNAL,Direção-Geral do Território,2
FRDN00CAN,CA,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL,45.933,-66.659,95.9,1760543.42,-4080069.4,4560178.6,ROBOT,IGS / RTS,CDDIS,40146M001,INTERNAL,Natural Resources Canada,2
FTNA00WLF,PF,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,-14.30780311,-178.1209457,84.859,-6178322.446,-202694.9925,-1566024.468,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,92902S002,INTERNAL,Centre National d'Etudes Spatiales,2
FUNC00PRT,PT,TRIMBLE ALLOY,TRM159900.00,NONE,GPS+GLO+GAL,32.64794722,-16.90761667,78.5,5143339.43,-1563412.87,3421191.44,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,BKG,13911S001,INTERNAL,Direção-Geral do Território,2
GAMB00PYF,PF,TRIMBLE NETR9,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-23.13035471,-134.9648236,80.66,-4147126.809,-4152222.145,-2490033.108,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,IGN,92301M003,INTERNAL,Centre National d'Etudes Spatiales,2
GAMG00KOR,KR,SEPT POLARX5TR,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,35.59008056,127.9197361,900,-3191598,4096876,3691823,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,23910M001,INTERNAL,Centre National d'Etudes Spatiales,2
GANP00SVK,SK,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,49.03471389,20.32293611,746,3929181.5,1455236.8,4793653.9,ROBOT,IGS / IGS14 / IGS Multi-GNSS / RTS,BKG,11515M001,INTERNAL,Geodetic and Cartographic Institute Bratislava,2
GCGO00USA,United States of America,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,64.97803647,-147.4994468,319.1771,-2281623.78,-1453585.627,5756963.743,ROBOT,IGS / RTS / IGS Multi-GNSS,JPL,40408M006,INTERNAL,Jet Propulsion Laboratory,2
GENO00ITA,IT,LEICA GR30,LEIAR20,NONE,GPS+GLO+GAL+BDS+SBAS,44.4194,8.921116667,153.5,4507890.272,707618.974,4441603.008,ROBOT,IGS / IGS Multi-GNSS,ASI,12712M002,INTERNAL,Agenzia Spaziale Italiana,2
GLPS00ECU,EC,SEPT POLARX5,ASH701945B_M,SCIT,GPS+GLO+GAL+BDS,-0.742998639,-90.30366858,1.7882,-33801.259,-6377516.528,-82154.3037,FIELD,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,42005M002,INTERNAL,Jet Propulsion Laboratory,2
GLSV00UKR,UA,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,50.36417778,30.49673889,226.8,3512889.29,2068980.654,4888903.261,ROBOT,IGS20 / IGS08 / IGS / IGS14 / IGS Multi-GNSS,BKG,12356M001,INTERNAL,Main Astronomical Observatory of Ukraine,2
GODE00USA,US,SEPT POLARX5TR,AOAD/M_T,JPLA,GPS+GLO+GAL+BDS,39.02172758,-76.8268305,14.5046,1130773.718,-4831253.581,3994200.422,,IGS20 / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,40451M123,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
GODN00USA,US,JAVAD TRE_3 DELTA,TPSCR.G3,SCIS,GPS+GLO+GAL+BDS,39.02116667,-76.82708333,18,1130760.876,-4831298.688,3994155.186,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,JPL,40451M127,INTERNAL,Jet Propulsion Laboratory,2
GODS00USA,US,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS,39.03477778,-77.38697222,19.1,1130752.305,-4831349.122,3994098.95,ROBOT,IGS / IGS Multi-GNSS / RTS,JPL,40451M128,EXTERNAL H2 Maser,Jet Propulsion Laboratory,2
GODZ00USA,US,JPS EGGDT,AOAD/M_T,JPLA,GPS+GLO,39.02172778,-76.82682778,14.509,1130773.867,-4831253.583,3994200.409,,IGS14 Core / IGS / IGS14,CDDIS,40451M123,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
GOL200USA,United States,ASHTECH UZ-12,AOAD/M_T,NONE,GPS,35.42515556,-116.88925,986.6779,-2353614.316,-4641385.324,3676976.407,ROBOT,IGS14 Core / IGS / IGS14,JPL,40405S031,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
GOLD00USA,United States of America,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,GPS+GLO+GAL+QZSS,35.42515556,-116.88925,986.6779,-2353614.316,-4641385.352,3676976.434,ROBOT,IGS20 / IGS08 Core / IGS08 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,40405S031,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
GOP600CZE,CZ,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,49.91366667,14.78560278,592.6,3979319.62,1050311.94,4857064.38,ROBOT,IGS Multi-GNSS / IGS / RTS,BKG,11502M006,EXTERNAL CESIUM,Research Institute of Geodesy+ Topography and Cart,2
GOP700CZE,CZ,TRIMBLE NETR9,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+QZSS,49.91366667,14.78560278,592.6,3979319.64,1050311.92,4857064.37,ROBOT,IGS Multi-GNSS / IGS,BKG,11502M006,EXTERNAL CESIUM,Research Institute of Geodesy+ Topography and Cart,
GOPE00CZE,CZ,TRIMBLE ALLOY,TPSCR.G3,TPSH,GPS+GLO+GAL+BDS+IRNSS+SBAS,49.91370556,14.78562222,592.6,3979316.134,1050312.478,4857067.108,ROBOT,IGS / RTS / IGS Multi-GNSS,BEV,11502M002,EXTERNAL CESIUM,Research Institute of Geodesy+ Topography and Cart,2
GRAC00FRA,FR,LEICA GR50,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,43.75448611,6.920761111,1319.8,4581708.63,556132.23,4389340.93,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,10002M010,INTERNAL,Institut National de l'Information Geographique et,2
GRAS00FRA,FR,TRIMBLE NETR9,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+SBAS,43.75473889,6.920575,1319.3,4581690.811,556114.972,4389360.88,ROBOT,IGS20 / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,IGN,10002M006,INTERNAL,Centre National d'Etudes Spatiales,2
GRAZ00AUT,AT,SEPT POLARX5,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS,47.06712778,15.493475,538.3,4194424.124,1162702.46,4647245.193,ROBOT,IGS20 / IGS08 / IGS / IGS14 / RTS / IGS Multi-GNSS,BKG,11001M002,INTERNAL,Federal Office Of Metrology an Surveying,2
GUAM00GUM,GU,SEPT POLARX5,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,13.58933056,144.8683583,201.914,-5071312.657,3568363.635,1488904.402,ROBOT,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,50501M002,INTERNAL,Jet Propulsion Laboratory,2
GUAT00GTM,GT,LEICA GRX1200GGPRO,LEIAR25.R3,LEIT,GPS+GLO,14.59040278,-90.52018333,1519.9,-56063.582,-6174978.67,1596665.267,ROBOT,IGS20 / IGS08 Core / IGS14 Core / IGS08 / IGS / IGS14,ftp://geodesy.noaa.gov/cors,40901S001,INTERNAL,Instituto Geografico Nacional+ Guatemala,
GUUG00USA,US,TRIMBLE ALLOY,LEIAR20,LEIM,GPS+GLO+GAL,13.43320833,144.8027139,134.7,-5070465.249,3576460.234,1472093.785,ROBOT,IGS08 / IGS14 Core / IGS14 / IGS,https://geodesy.noaa.gov/corsdata/,82301M001,INTERNAL,National Geodetic Survey,2
HAL100USA,United States of America,SEPT POLARX5,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,20.70750556,-156.2561944,3049,-5466017.945,-2404394.655,2242210.248,ROBOT,IGS / IGS Multi-GNSS / RTS,JPL,40445M006,INTERNAL,Jet Propulsion Laboratory,2
HAMD00IRN,Islamic Republic of Iran,TRIMBLE NETR9,TRM57971.00,SCIT,GPS+GLO,34.86908266,48.53430644,1750.9381,3469898.018,3926741.412,3626961.147,ROBOT,IGS,SIO,20411M001,INTERNAL,National Cartographic Center of Iran,
HARB00ZAF,ZA,SEPT POLARX5TR,TRM59800.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,-25.88696174,27.70724585,1558.078,5084657.615,2670325.25,-2768481.027,ROBOT,IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,IGN,30302M009,EXTERNAL CESIUM,Centre National d'Etudes Spatiales,2
HERS00GBR,United Kingdom,SEPT POLARX5TR,LEIAR25.R3,NONE,GPS+GLO+GAL+BDS+SBAS,50.8673,0.3362,76.5,4033471.33,23667.86,4924300.35,ROBOT,IGS20 / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,BKG,13212M007,EXTERNAL H-MASER,NERC Space Geodesy Facility,2
HERT00GBR,United Kingdom,LEICA GRX1200GGPRO,LEIAT504GG,NONE,GPS+GLO,50.86747778,0.334352778,83.3,4033461.038,23537.662,4924318.165,ROBOT,IGS08 / IGS / IGS14 / RTS,BKG,13212M010,INTERNAL,NERC Space Geodesy Facility,2
HKSL00HKG,CN,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS,22.37200556,113.9279806,95.3,-2393382.414,5393861.187,2412592.401,ROBOT,IGS20 / IGS / RTS / IGS Multi-GNSS,CDDIS,23015M001,INTERNAL,Hong Kong Lands Department,2
HKWS00HKG,CN,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS,22.43428333,114.3353778,63.8,-2430579.004,5374285.676,2418956.331,ROBOT,IGS / RTS / IGS Multi-GNSS,CDDIS,23019M001,INTERNAL,Hong Kong Lands Department,2
HLFX00CAN,CA,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL,44.68355,-63.61127778,3.1,2018905.8,-4069070.52,4462415.41,ROBOT,IGS20 / IGS08 / IGS14 Core / IGS / IGS14 / RTS,CDDIS,40120M001,EXTERNAL RUBIDIUM,Natural Resources Canada,2
HNLC00USA,United States of America,TRIMBLE NETR9,ASH700936D_M,SNOW,GPS,21.3033,-157.8645,22,-5506799,-2240050,2302720,ROBOT,IGS20 / IGS14 Core / IGS08 / IGS / IGS14,SOPAC,49970S001,INTERNAL,Pacific GPS Facility,
HNPT00USA,US,LEICA GR50,LEIAX1202GG,NONE,GPS+GLO+GAL,38.58881667,-76.13037222,-28,1196626.343,-4846358.5,3956723.115,ROBOT,IGS,https://geodesy.noaa.gov/corsdata/,49913S001,INTERNAL,National Geodetic Survey,2
HNUS00ZAF,ZA,TRIMBLE ALLOY,ASH701941.B,SCIS,GPS+GLO,-34.42463056,19.22306111,63,4973168.805,1734085.391,-3585434.146,ROBOT,IGS20 / IGS,ftp://igs.ign.fr/,30322M001,INTERNAL,National Geospatial Information,2
HOB200AUS,AU,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-42.80470556,147.4387361,41,-3950072.25,2522415.362,-4311637.402,ROBOT,IGS08 Core / IGS20 / IGS14 Core / IGS08 / IGS / IGS14 / RTS / IGS Multi-GNSS,GA,50116M004,EXTERNAL H-MASER,Geoscience Australia,2
HOFN00ISL,IS,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+IRNSS+SBAS,64.26729167,-15.197925,82.3,2679689.848,-727951.343,5722788.898,ROBOT,IGS08 Core / IGS20 / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,BKG,10204M002,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
HOLB00CAN,CA,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS,50.6404,-128.135,560,-2503040.424,-3188233.325,4908701.543,ROBOT,IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS,PGC,40130M001,INTERNAL RECEIVER CLOCK,Geological Survey of Canada,2
HOLM00CAN,CA,ASHTECH UZ-12,ASH701945D_M,NONE,GPS,70.7364,-117.7609,39.5,-983063.87,-1867634.52,5998678.91,ROBOT,IGS20 / IGS14 Core / IGS / IGS14,CDDIS,40148M001,INTERNAL,NRCan+ Geodetic Survey Division,
HOLP00USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,33.92453889,-118.1681694,-6.71,-2500946.096,-4670472.952,3539500.547,ROBOT,IGS,CDDIS,49903M001,INTERNAL,USGS,3
HRAG00ZAF,ZA,JAVAD TRE_G3TH DELTA,LEIAR25.R3,LEIT,GPS+GLO+GAL+IRNSS+SBAS,-25.89040222,27.68518022,1407.38,5085418.18,2668226.51,-2768758.21,ROBOT,IGS Multi-GNSS / IGS / RTS,BKG,30302M010,EXTERNAL H-MASER,DLR German Space Operations Center,2
HRAO00ZAF,ZA,SEPT POLARX5TR,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,-25.89010556,27.68698056,1414.3,5085352.597,2668395.992,-2768731.551,ROBOT,IGS20 / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,30302M004,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
HUEG00DEU,DE,JAVAD TRE_3L DELTA,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,47.83395,7.596169444,278.3,4251963.3,567043.8,4704708.7,ROBOT,IGS / RTS / IGS Multi-GNSS,BKG,14280M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
HYDE00IND,IN,LEICA GRX1200GGPRO,LEIAT504GG,NONE,GPS+GLO,17.41725556,78.55086667,441.68,1208444.86,5966806.057,1897076.623,ROBOT,IGS20 / IGS14 Core / IGS08 / IGS / IGS14,CDDIS,22307M001,INTERNAL,National Geophysical Research Institute,2
IENG00ITA,IT,SEPT POLARX4TR,SEPCHOKE_MC,NONE,GPS+GLO+GAL+BDS+SBAS,45.01513333,7.639405556,316.6,4476537.4,600431.46,4488761.34,ROBOT,IGS / IGS Multi-GNSS,ASI,12724S001,EXTERNAL H-MASER,Istituto Nazionale di Ricerca Metrologica,2
IISC00IND,IN,SEPT POLARX5,ASH701945E_M,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,13.02116586,77.57037594,843.7145,1337936.455,6070317.126,1427876.785,ROBOT,IGS08 Core / IGS20 / IGS14 Core / IGS08 / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,22306M002,INTERNAL,Jet Propulsion Laboratory,2
IITK00IND,IN,TRIMBLE ALLOY,TRM159900.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS,26.52142222,80.23213333,71.7,968880.6487,5628037.65,2830900.729,ROBOT,RTS / IGS / IGS Multi-GNSS,,22317M001,,Indian Institute of Technology Kanpur,2
INEG00MEX,MX,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS,21.85615278,-102.2842028,1888.3,-1260435.67,-5788547.37,2360340.12,ROBOT,IGS / IGS Multi-GNSS,ftp://geodesia.inegi.org.mx,40507M001,INTERNAL,Instituto Nacional de Estadistica y Geografía,2
INVK00CAN,CA,TRIMBLE NETR9,ASH701945C_M,SCIS,GPS,68.3062,-133.527,46.36,-1628432.02,-1714393.06,5903844.73,ROBOT,IGS20 / IGS08 / IGS / IGS14,CDDIS,40150M001,INTERNAL,NRCan+ Geodetic Survey Division,2
IQAL00CAN,CA,TPS NET-G3A,TPSCR.G3,NONE,GPS+GLO,63.75596389,-68.51049722,91.7,1036001.02,-2631455.56,5697819.69,ROBOT,IGS20 / IGS / IGS14 / RTS,CDDIS,40194M001,INTERNAL,Natural Resources Canada,2
